event_id,event_ts,user_id,workspace_id,event_name,project_id,asset_type,experiment_id,event_value
E001,2026-03-01T08:15:00Z,U001,W001,signup,,,EXP001,1
E002,2026-03-01T08:20:00Z,U001,W001,create_project,P100,,EXP001,1
E003,2026-03-01T08:35:00Z,U001,W001,upload_asset,P100,image,EXP001,3
E004,2026-03-01T08:50:00Z,U001,W001,generate_asset,P100,image,EXP001,2
E005,2026-03-01T09:10:00Z,U002,W001,signup,,,EXP001,1
E006,2026-03-01T09:15:00Z,U002,W001,create_project,P101,,EXP001,1
E007,2026-03-01T09:35:00Z,U002,W001,upload_asset,P101,video,EXP001,1
E008,2026-03-01T10:05:00Z,U003,W002,signup,,,EXP001,1
E009,2026-03-01T10:25:00Z,U003,W002,create_project,P200,,EXP001,1
E010,2026-03-01T10:45:00Z,U003,W002,invite_collaborator,P200,,EXP001,2
E011,2026-03-01T11:10:00Z,U004,W003,signup,,,EXP002,1
E012,2026-03-01T11:40:00Z,U004,W003,create_project,P300,,EXP002,1
E013,2026-03-01T12:05:00Z,U005,W003,login,,,EXP002,1
E014,2026-03-02T08:00:00Z,U004,W003,upload_asset,P300,image,EXP002,5
E015,2026-03-02T08:30:00Z,U004,W003,publish,P300,image,EXP002,1

